id_persediaan,id_barang,jumlah_stok,lokasi_gudang,tanggal_update
1,101,250,Gudang A,2024-05-25
2,102,150,Gudang B,2024-05-25
3,103,75,Gudang C,2024-05-25
4,104,100,Gudang A,2024-05-25
5,105,50,Gudang D,2024-05-25
6,106,200,Gudang E,2024-06-25
7,107,150,Gudang F,2024-06-25
8,108,180,Gudang G,2024-06-25
9,109,120,Gudang H,2024-06-25
10,110,140,Gudang I,2024-06-25
11,111,90,Gudang J,2024-06-25
12,112,300,Gudang K,2024-06-25
13,113,270,Gudang L,2024-06-25
14,114,240,Gudang M,2024-06-25
15,115,180,Gudang N,2024-06-25
16,116,210,Gudang O,2024-06-25
17,117,110,Gudang P,2024-06-25
18,118,100,Gudang Q,2024-06-25
19,119,200,Gudang R,2024-06-25
20,120,130,Gudang S,2024-06-25
